4.993749130920127621e-01 8.205483276049295727e-01
4.309474304605413475e-01 6.536202752590178910e-01
4.023407874107360893e-01 4.867305004596710338e-01
3.791781145245940454e-01 5.426850074132283375e-01
3.601428800600546265e-01 6.147632342974345132e-01
3.516524956756167941e-01 3.596136179765065388e-01
3.383410397061595298e-01 3.790799903869628840e-01
3.274716125726699900e-01 2.854573032061258897e-01
3.270555668760228851e-01 3.868231237729390370e-01
3.195053347305015223e-01 3.003837697505951088e-01
3.072294722618880147e-01 7.477858697573344093e-01
3.001984120916437182e-01 3.325527497132619303e-01
2.472100496645326939e-01 2.233812193473179997e-01
2.309937429869616532e-01 2.180911052624384672e-01
2.266029317820513755e-01 2.139028582970301240e-01
2.187629777060614567e-01 2.526195846796036037e-01
2.138813004604092349e-01 2.326691422462463243e-01
2.105530916805620489e-01 2.145861964225768970e-01
2.041541883283191361e-01 2.235383174419403041e-01
1.842186578644646466e-01 2.074178194204966130e-01
1.807289997206793786e-01 1.987374277114868082e-01
1.763052109259146127e-01 1.999928613106409792e-01
1.711398959115699447e-01 2.053093367815017611e-01
1.687430893491815576e-01 1.989005802869796835e-01
1.669902494792585013e-01 2.040103390614191603e-01
1.599429031433882431e-01 2.013997605244318700e-01
1.555356202655368281e-01 2.028624348640441777e-01
1.656651739279429159e-01 1.974184691111246781e-01
1.651223353059203536e-01 1.970932940642038944e-01
1.638559001904946744e-01 1.981003218889236528e-01
1.650043253103891938e-01 1.974592866897582899e-01
1.665687874732194040e-01 1.975016526381174753e-01
1.644123762183719306e-01 1.976304805278777943e-01
1.629107813570234431e-01 1.974150604009628218e-01
